_id,address.building,address.coord[0],address.coord[1],address.street,address.zipcode,borough,cuisine,grades[0].date,grades[1].date,grades[2].date,grades[3].date,grades[4].date,grades[5].date,grades[6].date,grades[7].date,grades[0].grade,grades[1].grade,grades[2].grade,grades[3].grade,grades[4].grade,grades[5].grade,grades[6].grade,grades[7].grade,grades[0].score,grades[1].score,grades[2].score,grades[3].score,grades[4].score,grades[5].score,grades[6].score,grades[7].score,name,restaurant_id
692d7a81e05a308f84eae95b,1007,-73.856077,40.848447,Morris Park Ave,10462,Bronx,Bakery,2014-03-03T00:00:00.000Z,2013-09-11T00:00:00.000Z,2013-01-24T00:00:00.000Z,2011-11-23T00:00:00.000Z,2011-03-10T00:00:00.000Z,,,,A,A,A,A,B,,,,2,6,10,9,14,,,,Morris Park Bake Shop,30075445
692d7a81e05a308f84eae95c,469,-73.961704,40.662942,Flatbush Avenue,11225,Brooklyn,Hamburgers,2014-12-30T00:00:00.000Z,2014-07-01T00:00:00.000Z,2013-04-30T00:00:00.000Z,2012-05-08T00:00:00.000Z,,,,,A,B,A,A,,,,,8,23,12,12,,,,,Wendy'S,30112340
692d7a81e05a308f84eae95d,351,-73.98513559999999,40.7676919,West   57 Street,10019,Manhattan,Irish,2014-09-06T00:00:00.000Z,2013-07-22T00:00:00.000Z,2012-07-31T00:00:00.000Z,2011-12-29T00:00:00.000Z,,,,,A,A,A,A,,,,,2,11,12,12,,,,,Dj Reynolds Pub And Restaurant,30191841
692d7a81e05a308f84eae95e,2780,-73.98241999999999,40.579505,Stillwell Avenue,11224,Brooklyn,American ,2014-06-10T00:00:00.000Z,2013-06-05T00:00:00.000Z,2012-04-13T00:00:00.000Z,2011-10-12T00:00:00.000Z,,,,,A,A,A,A,,,,,5,7,12,12,,,,,Riviera Caterer,40356018
692d7a81e05a308f84eae95f,97-22,-73.8601152,40.7311739,63 Road,11374,Queens,Jewish/Kosher,2014-11-24T00:00:00.000Z,2013-01-17T00:00:00.000Z,2012-08-02T00:00:00.000Z,2011-12-15T00:00:00.000Z,,,,,Z,A,A,B,,,,,20,13,13,25,,,,,Tov Kosher Kitchen,40356068
692d7a81e05a308f84eae960,8825,-73.8803827,40.7643124,Astoria Boulevard,11369,Queens,American ,2014-11-15T00:00:00.000Z,2014-05-02T00:00:00.000Z,2013-03-02T00:00:00.000Z,2012-02-10T00:00:00.000Z,,,,,Z,A,A,A,,,,,38,10,7,13,,,,,Brunos On The Boulevard,40356151
692d7a81e05a308f84eae961,2206,-74.1377286,40.6119572,Victory Boulevard,10314,Staten Island,Jewish/Kosher,2014-10-06T00:00:00.000Z,2014-05-20T00:00:00.000Z,2013-04-04T00:00:00.000Z,2012-01-24T00:00:00.000Z,,,,,A,A,A,A,,,,,9,12,12,9,,,,,Kosher Island,40356442
692d7a81e05a308f84eae962,7114,-73.9068506,40.6199034,Avenue U,11234,Brooklyn,Delicatessen,2014-05-29T00:00:00.000Z,2014-01-14T00:00:00.000Z,2013-08-03T00:00:00.000Z,2012-07-18T00:00:00.000Z,2012-03-09T00:00:00.000Z,2011-10-14T00:00:00.000Z,,,A,A,A,A,A,A,,,10,10,8,10,13,9,,,Wilken'S Fine Food,40356483
692d7a81e05a308f84eae963,6409,-74.00528899999999,40.628886,11 Avenue,11219,Brooklyn,American ,2014-07-18T00:00:00.000Z,2013-07-30T00:00:00.000Z,2013-02-13T00:00:00.000Z,2012-08-16T00:00:00.000Z,2011-08-17T00:00:00.000Z,,,,A,A,A,A,A,,,,12,12,11,2,11,,,,Regina Caterers,40356649
692d7a81e05a308f84eae964,1839,-73.9482609,40.6408271,Nostrand Avenue,11226,Brooklyn,"Ice Cream, Gelato, Yogurt, Ices",2014-07-14T00:00:00.000Z,2013-07-10T00:00:00.000Z,2012-07-11T00:00:00.000Z,2012-02-23T00:00:00.000Z,,,,,A,A,A,A,,,,,12,8,5,8,,,,,Taste The Tropics Ice Cream,40356731
692d7a81e05a308f84eae965,2300,-73.8786113,40.8502883,Southern Boulevard,10460,Bronx,American ,2014-05-28T00:00:00.000Z,2013-06-19T00:00:00.000Z,2012-06-15T00:00:00.000Z,,,,,,A,A,A,,,,,,11,4,3,,,,,,Wild Asia,40357217
692d7a81e05a308f84eae966,7715,-73.9973325,40.61174889999999,18 Avenue,11214,Brooklyn,American ,2014-04-16T00:00:00.000Z,2013-04-23T00:00:00.000Z,2012-04-24T00:00:00.000Z,2011-12-16T00:00:00.000Z,,,,,A,A,A,A,,,,,5,2,5,2,,,,,C & C Catering Service,40357437
692d7a81e05a308f84eae967,1269,-73.871194,40.6730975,Sutter Avenue,11208,Brooklyn,Chinese,2014-09-16T00:00:00.000Z,2013-08-28T00:00:00.000Z,2013-04-02T00:00:00.000Z,2012-08-15T00:00:00.000Z,2012-03-28T00:00:00.000Z,,,,B,A,C,B,B,,,,21,7,56,27,27,,,,May May Kitchen,40358429
